,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
70,Color,John Carpenter,212.0,89.0,,606.0,Hal Holbrook,2000.0,66913140,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46492,4877,Janet Leigh,0.0,california|fog|leper|lighthouse|ship,335.0,English,USA,R,3130000.0,1980,826.0,6.8,2.35,7000.0
71,Color,John Carpenter,212.0,89.0,,606.0,Hal Holbrook,2000.0,66913140,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46493,4878,Janet Leigh,0.0,california|fog|leper|lighthouse|ship,335.0,English,USA,R,3130000.0,1980,826.0,6.8,2.35,7000.0
72,Color,Michael Apted,46.0,124.0,150.0,572.0,Beverly D'Angelo,874.0,250087000,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,12974,2667,Levon Helm,0.0,country music|kissing while having sex|poverty|singer|title based on song,84.0,English,USA,PG,,1980,816.0,7.5,1.85,
73,Color,Steve Rash,13.0,98.0,15.0,281.0,Adam Arkin,691.0,23800000,Comedy,Mako,Under the Rainbow ,2061,1761,Billy Barty,0.0,assassin|hotel|japanese tourist|secret service|wizard of oz,34.0,English,USA,PG,56000000.0,1981,374.0,5.4,1.78,501.0
74,Color,Steven Spielberg,234.0,115.0,14000.0,488.0,Karen Allen,11000.0,678648471,Action|Adventure,Harrison Ford,Raiders of the Lost Ark ,661017,12906,William Hootkins,1.0,archeological dig|archeologist|ark of the covenant|egypt|nazi,771.0,English,USA,PG,50400000.0,1981,783.0,8.5,2.35,16000.0
75,Color,William A. Fraker,25.0,98.0,28.0,102.0,Richard Farnsworth,372.0,22400000,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger ,1400,927,Michael Horse,0.0,ambush|hero|masked hero|outlaw|texas ranger,41.0,English,USA,PG,50400000.0,1981,262.0,5.0,2.35,346.0
76,Color,Matthew Robbins,60.0,108.0,25.0,94.0,Ralph Richardson,1000.0,16800000,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer ,10832,1263,Albert Salmi,0.0,apprentice|dragon|king|kingdom|wizard,102.0,English,USA,PG,50400000.0,1981,115.0,6.7,2.35,
77,Color,Noel Marshall,50.0,102.0,4.0,60.0,Melanie Griffith,634.0,5600000,Adventure|Horror|Thriller,Tippi Hedren,Roar ,1275,1262,Zakes Mokae,0.0,chase|dead man|jungle|killing a lion|killing a tiger,27.0,English,USA,PG,47600000.0,1981,537.0,6.4,2.35,
78,Color,Franklin J. Schaffner,2.0,118.0,76.0,249.0,William Hootkins,902.0,2240000,Adventure|Mystery|Thriller,Frank Langella,Sphinx ,892,2079,John Gielgud,0.0,bat|curse|egyptologist|mummy|murder,21.0,English,USA,PG,39200000.0,1981,488.0,5.2,2.35,106.0
79,Color,Ivan Reitman,52.0,117.0,425.0,901.0,Harold Ramis,13000.0,238839999,Action|Comedy|War,Bill Murray,Stripes ,48629,27378,Judge Reinhold,1.0,army|boot camp|breasts|graduation|rescue,134.0,English,USA,R,28000000.0,1981,11000.0,6.9,1.85,
80,Color,Steve Miner,242.0,87.0,49.0,59.0,Adrienne King,309.0,53480000,Horror|Mystery|Thriller,Betsy Palmer,Friday the 13th Part 2 ,39690,707,Amy Steel,0.0,ice pick|jason voorhees|lake|pitchfork|shack,394.0,English,USA,R,3500000.0,1981,121.0,6.1,1.85,
81,Color,Joe Dante,161.0,91.0,287.0,725.0,Robert Picardo,1000.0,50360800,Horror,Patrick Macnee,The Howling ,22773,4438,Dee Wallace,0.0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195.0,English,USA,R,2800000.0,1981,823.0,6.6,1.85,
82,Color,Colin Higgins,11.0,114.0,19.0,842.0,Barry Corbin,1000.0,180244200,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas ,7748,3688,Dom DeLuise,2.0,chicken|governor|locker room|sheriff|texas,48.0,English,USA,R,90510000.00000001,1982,883.0,5.8,2.35,
83,Color,Ridley Scott,302.0,117.0,,521.0,Sean Young,11000.0,69822000,Sci-Fi|Thriller,Harrison Ford,Blade Runner ,461609,13877,M. Emmet Walsh,2.0,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,1168.0,English,USA,R,72408000.00000001,1982,759.0,8.2,2.35,34000.0
84,Color,Sydney Pollack,94.0,116.0,521.0,481.0,Sydney Pollack,13000.0,458239200,Comedy|Drama|Romance,Bill Murray,Tootsie ,77366,14701,Teri Garr,1.0,actor|actress|friend|love|reputation,194.0,English,USA,PG,56892000.00000001,1982,521.0,7.4,2.35,
85,Color,Clint Eastwood,43.0,136.0,16000.0,216.0,Warren Clarke,16000.0,120766200,Action|Adventure|Thriller,Clint Eastwood,Firefox ,19832,16805,Kenneth Colley,1.0,fighter plane|jet fighter|refueling|russia|soviet union,98.0,English,USA,PG,54306000.00000001,1982,281.0,5.9,2.35,
86,Color,John Milius,166.0,129.0,468.0,183.0,Mako,919.0,97149399,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,2024,Sandahl Bergman,0.0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337.0,English,USA,R,51720000.00000001,1982,691.0,6.9,2.35,
87,Color,John Milius,166.0,129.0,468.0,183.0,Mako,919.0,97149399,Adventure|Fantasy,William Smith,Conan the Barbarian ,113068,2024,Sandahl Bergman,0.0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337.0,English,USA,R,51720000.00000001,1982,691.0,6.9,2.35,
88,Color,Hal Needham,40.0,99.0,379.0,251.0,Michael Beck,456.0,13792839,Action|Sci-Fi,Barry Bostwick,Megaforce ,2541,1356,Henry Silva,2.0,dictator|electronic music score|one word title|secret headquarters|soldier,54.0,English,USA,PG,51720000.00000001,1982,278.0,3.5,1.85,
