color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Jeannot Szwarc,75,131,82,85,Murray Hamilton,813,400779732,Adventure|Horror|Thriller,Roy Scheider,Jaws 2 ,51314,1520,Joseph Mascolo,0,great white shark|island|mayor|police chief|shark,265,English,USA,PG,77880000,1978,366,5.7,2.35,
Color,Randal Kleiser,124,110,116,898,Stockard Channing,1000,706215840,Musical|Romance,Olivia Newton-John,Grease ,170027,5127,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,350,English,USA,PG-13,23364000,1978,944,7.2,2.35,13000
Color,John Landis,94,109,644,559,Karen Allen,1000,551390400,Comedy,John Belushi,Animal House ,90177,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,English,USA,R,11682000,1978,783,7.6,1.85,
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,1168200,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,1168200,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157863,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,1168200,1978,742,7.9,2.35,12000
Color,Martin Scorsese,71,117,17000,476,Levon Helm,725,1253681,Documentary|Music,Ringo Starr,The Last Waltz ,12611,2783,Bob Dylan,0,band|final concert|guitar|interview|thanksgiving,113,English,USA,PG,,1978,572,8.2,1.85,
Color,Robert Wise,134,143,338,643,Nichelle Nichols,12000,293317199,Adventure|Mystery|Sci-Fi,Leonard Nimoy,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2,alien|space|space station|spacecraft|warp speed,405,English,USA,PG,124740000,1979,664,6.4,2.35,
Color,Francis Ford Coppola,261,289,,3000,Marlon Brando,11000,280843199,Drama|War,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,1,army|green beret|insanity|jungle|vietnam,983,English,USA,R,112266000,1979,10000,8.5,2.35,19000
Color,Mark Rydell,32,125,43,122,Frederic Forrest,563,104068799,Drama|Music|Romance,David Keith,The Rose ,6142,1097,Alan Bates,0,awol|demand|driver|drugs|roses,52,English,USA,R,30294000,1979,236,6.9,1.85,1000
Color,Don Siegel,53,112,152,459,Patrick McGoohan,16000,130085999,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,87090,17568,Fred Ward,0,alcatraz|escape|inmate|island|prison,142,English,USA,PG,28512000,1979,466,7.6,1.85,
Color,Richard Lester,121,116,44,420,Ned Beatty,593,338666000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,4,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269,English,USA,PG,169020000,1980,467,6.8,2.35,
Color,Michael Cimino,102,325,517,678,Sam Waterston,12000,4695000,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,9830,14255,Isabelle Huppert,0,1890s|hired gun|immigrant|johnson county war|sheriff,189,English,USA,R,137720000,1980,849,6.8,2.35,1000
Color,John Landis,125,148,644,326,Aretha Franklin,1000,169646000,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers ,142448,2566,Ray Charles,1,band|catholic|money|parolee|prison,319,English,USA,R,84510000,1980,809,7.9,1.85,14000
Color,Nancy Walker,26,124,42,161,Randy Jones,801,6260000,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,2998,1462,Caitlyn Jenner,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,English,USA,PG,62600000,1980,174,4.5,2.35,1000
Color,Irvin Kershner,223,127,883,441,Kenny Baker,11000,908196890,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,837759,12643,Anthony Daniels,0,duel|famous twist|rebel|rescue|snowy landscape,900,English,USA,PG,56340000,1980,504,8.8,2.35,17000
 Black and White,Martin Scorsese,151,121,17000,356,Cathy Moriarty,22000,141632,Biography|Drama|Sport,Robert De Niro,Raging Bull ,235133,23008,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,494,English,USA,R,56340000,1980,394,8.3,1.85,
Color,Howard Zieff,25,109,6,271,Albert Brooks,1000,218474000,Comedy|War,Eileen Brennan,Private Benjamin ,18140,2419,Alan Oppenheimer,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,60,English,USA,R,31300000,1980,745,6.1,1.85,855
Color,Brian De Palma,121,104,,517,David Margulies,754,99843870,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,23986,2442,Nancy Allen,0,apartment|elevator|murder|psychiatrist|sunglasses,201,English,USA,X,20345000,1980,567,7.1,2.35,
Color,Robert Redford,62,124,,535,Elizabeth McGovern,2000,171524000,Drama,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3,choir|death|friend|suicide|therapy,283,English,USA,R,18780000,1980,553,7.8,1.85,
Color,Harold Ramis,71,98,11000,484,Rodney Dangerfield,13000,124574000,Comedy|Sport,Bill Murray,Caddyshack ,81599,14921,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,250,English,USA,R,18780000,1980,573,7.4,1.85,
Color,Jim Abrahams,134,88,104,318,Lloyd Bridges,628,261042000,Comedy,Peter Graves,Airplane! ,160281,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,427,English,USA,PG,10955000,1980,575,7.8,1.85,16000
Color,John Carpenter,212,89,,606,Hal Holbrook,2000,66913140,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46492,4877,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,USA,R,3130000,1980,826,6.8,2.35,7000
Color,John Carpenter,212,89,,606,Hal Holbrook,2000,66913140,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46493,4878,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,USA,R,3130000,1980,826,6.8,2.35,7000
Color,Michael Apted,46,124,150,572,Beverly D'Angelo,874,250087000,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,12974,2667,Levon Helm,0,country music|kissing while having sex|poverty|singer|title based on song,84,English,USA,PG,,1980,816,7.5,1.85,
Color,Steve Rash,13,98,15,281,Adam Arkin,691,23800000,Comedy,Mako,Under the Rainbow ,2061,1761,Billy Barty,0,assassin|hotel|japanese tourist|secret service|wizard of oz,34,English,USA,PG,56000000,1981,374,5.4,1.78,501
Color,Steven Spielberg,234,115,14000,488,Karen Allen,11000,678648471,Action|Adventure,Harrison Ford,Raiders of the Lost Ark ,661017,12906,William Hootkins,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,771,English,USA,PG,50400000,1981,783,8.5,2.35,16000
Color,William A. Fraker,25,98,28,102,Richard Farnsworth,372,22400000,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger ,1400,927,Michael Horse,0,ambush|hero|masked hero|outlaw|texas ranger,41,English,USA,PG,50400000,1981,262,5,2.35,346
Color,Matthew Robbins,60,108,25,94,Ralph Richardson,1000,16800000,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer ,10832,1263,Albert Salmi,0,apprentice|dragon|king|kingdom|wizard,102,English,USA,PG,50400000,1981,115,6.7,2.35,
Color,Noel Marshall,50,102,4,60,Melanie Griffith,634,5600000,Adventure|Horror|Thriller,Tippi Hedren,Roar ,1275,1262,Zakes Mokae,0,chase|dead man|jungle|killing a lion|killing a tiger,27,English,USA,PG,47600000,1981,537,6.4,2.35,
Color,Franklin J. Schaffner,2,118,76,249,William Hootkins,902,2240000,Adventure|Mystery|Thriller,Frank Langella,Sphinx ,892,2079,John Gielgud,0,bat|curse|egyptologist|mummy|murder,21,English,USA,PG,39200000,1981,488,5.2,2.35,106
Color,Ivan Reitman,52,117,425,901,Harold Ramis,13000,238839999,Action|Comedy|War,Bill Murray,Stripes ,48629,27378,Judge Reinhold,1,army|boot camp|breasts|graduation|rescue,134,English,USA,R,28000000,1981,11000,6.9,1.85,
Color,Steve Miner,242,87,49,59,Adrienne King,309,53480000,Horror|Mystery|Thriller,Betsy Palmer,Friday the 13th Part 2 ,39690,707,Amy Steel,0,ice pick|jason voorhees|lake|pitchfork|shack,394,English,USA,R,3500000,1981,121,6.1,1.85,
Color,Joe Dante,161,91,287,725,Robert Picardo,1000,50360800,Horror,Patrick Macnee,The Howling ,22773,4438,Dee Wallace,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,English,USA,R,2800000,1981,823,6.6,1.85,
Color,Colin Higgins,11,114,19,842,Barry Corbin,1000,180244200,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas ,7748,3688,Dom DeLuise,2,chicken|governor|locker room|sheriff|texas,48,English,USA,R,90510000,1982,883,5.8,2.35,
Color,Ridley Scott,302,117,,521,Sean Young,11000,69822000,Sci-Fi|Thriller,Harrison Ford,Blade Runner ,461609,13877,M. Emmet Walsh,2,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,1168,English,USA,R,72408000,1982,759,8.2,2.35,34000
Color,Sydney Pollack,94,116,521,481,Sydney Pollack,13000,458239200,Comedy|Drama|Romance,Bill Murray,Tootsie ,77366,14701,Teri Garr,1,actor|actress|friend|love|reputation,194,English,USA,PG,56892000,1982,521,7.4,2.35,
Color,Clint Eastwood,43,136,16000,216,Warren Clarke,16000,120766200,Action|Adventure|Thriller,Clint Eastwood,Firefox ,19832,16805,Kenneth Colley,1,fighter plane|jet fighter|refueling|russia|soviet union,98,English,USA,PG,54306000,1982,281,5.9,2.35,
Color,John Milius,166,129,468,183,Mako,919,97149399,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,2024,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,USA,R,51720000,1982,691,6.9,2.35,
Color,John Milius,166,129,468,183,Mako,919,97149399,Adventure|Fantasy,William Smith,Conan the Barbarian ,113068,2024,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,USA,R,51720000,1982,691,6.9,2.35,
Color,Hal Needham,40,99,379,251,Michael Beck,456,13792839,Action|Sci-Fi,Barry Bostwick,Megaforce ,2541,1356,Henry Silva,2,dictator|electronic music score|one word title|secret headquarters|soldier,54,English,USA,PG,51720000,1982,278,3.5,1.85,
Color,Sidney Lumet,79,129,,359,James Mason,844,139644000,Drama,Charlotte Rampling,The Verdict ,26310,2330,Jack Warden,0,archdiocese|court|hospital|lawyer|malpractice,154,English,USA,R,41376000,1982,617,7.8,1.85,
Color,John Carpenter,297,109,,145,Richard Masur,957,35642419,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,0,alien creature|alien life form|antarctica|isolation|paranoia,911,English,USA,R,38790000,1982,163,8.2,2.35,23000
Color,Nicholas Meyer,148,116,120,664,Kirstie Alley,12000,204035400,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,91414,16539,Nichelle Nichols,2,jamming communications|planet|space station|taunt|trap,359,English,USA,PG,28446000,1982,980,7.7,2.35,
Color,Tobe Hooper,223,120,365,723,Zelda Rubinstein,887,198087600,Fantasy|Horror,Heather O'Rourke,Poltergeist ,105446,3876,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,321,English,USA,PG,27670200,1982,770,7.4,2.35,11000
Color,Tobe Hooper,223,120,365,723,Zelda Rubinstein,887,198087600,Fantasy|Horror,Heather O'Rourke,Poltergeist ,105448,3876,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,321,English,USA,PG,27670200,1982,770,7.4,2.35,11000
Color,Steven Spielberg,215,120,14000,548,Dee Wallace,861,1124779300,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,281842,2811,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,515,English,USA,PG,27153000,1982,725,7.9,1.85,34000
Color,Barry Levinson,42,110,272,551,Daniel Stern,801,36462600,Comedy|Drama,Steve Guttenberg,Diner ,14995,2943,Ellen Barkin,6,baltimore colts|diner|marriage|salesman|wedding,87,English,USA,R,12930000,1982,796,7.2,1.85,
Color,Steve Miner,235,91,49,20,Dana Kimmell,72,93613200,Horror|Thriller,Richard Brooker,Friday the 13th Part III ,31952,174,Catherine Parks,0,defecation|hockey mask|jason voorhees|lake|serial killer,372,English,USA,R,10344000,1982,31,5.7,2.35,
Color,Tommy Lee Wallace,162,98,24,67,Dan O'Herlihy,381,37238400,Horror|Mystery|Sci-Fi,Tom Atkins,Halloween III: Season of the Witch ,28589,684,Nancy Kyes,0,doctor|factory|halloween|holiday horror|stonehenge,532,English,USA,R,6465000,1982,128,4.6,2.35,
Color,Richard Marquand,197,134,37,504,Ian McDiarmid,11000,770958770,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,0,death star|emperor|empire|princess|rebel,647,English,USA,PG,81055000,1983,1000,8.4,2.35,14000
Color,Philip Kaufman,80,193,133,820,Scott Glenn,2000,53621000,Adventure|Drama|History,Dennis Quaid,The Right Stuff ,45271,6341,Sam Shepard,0,astronaut|sound barrier|space program|u.s. air force|u.s. space program,170,English,USA,PG,67338000,1983,826,7.9,1.85,
Color,Brian De Palma,147,142,,638,F. Murray Abraham,14000,111481800,Crime|Drama,Al Pacino,Scarface ,537442,16464,Mary Elizabeth Mastrantonio,0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,851,English,USA,R,62350000,1983,670,8.3,2.35,19000
Color,Harold Ramis,55,98,11000,624,Randy Quaid,816,153131600,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,71183,3617,Jane Krakowski,1,amusement park|dog|family vacation|national lampoon series|vacation,183,English,USA,R,37410000,1983,695,7.4,1.85,
Color,John Badham,84,114,139,793,Barry Corbin,2000,198442592,Sci-Fi|Thriller,Matthew Broderick,WarGames ,71842,4537,Ally Sheedy,0,computer|game|high school|norad|teenager,152,English,USA,PG,29928000,1983,883,7.1,1.85,
