color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Blake Edwards,22,143,688,42,Vernon Dobtcheff,638,5000000,Comedy|Drama|Musical|Romance|War,Rock Hudson,Darling Lili ,1547,788,Jeremy Kemp,2,crepe suzette|french|mata hari spoof|song|spy,50,English,USA,G,25000000,1970,50,6.2,2.35,104
Color,Russ Meyer,101,109,199,44,Cynthia Myers,503,9000000,Comedy|Drama|Music,Charles Napier,Beyond the Valley of the Dolls ,7584,731,Harrison Page,8,band|drugs|friendship|hollywood|satire,137,English,USA,X,900000,1970,46,6.2,2.35,
Color,Michael Wadleigh,53,215,14,136,Jimi Hendrix,262,13300000,Documentary|History|Music,Joe Cocker,Woodstock ,12631,778,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,63,English,USA,R,600000,1970,227,8.1,2.2,
Color,Norman Jewison,66,181,278,51,Paul Michael Glaser,402,50000000,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,English,USA,G,9000000,1971,343,8,2.35,
Color,Melvin Van Peebles,38,97,101,101,Mario Van Peebles,982,15180000,Crime|Drama|Thriller,John Amos,Sweet Sweetback's Baadasssss Song ,3340,1631,Melvin Van Peebles,1,black panther|hells angels|on the run|racist|racist cop,50,English,USA,R,500000,1971,535,5.5,1.37,566
Color,James Bidgood,8,65,,,Bobby Kendall,0,8231,Drama|Fantasy,Don Brooks,Pink Narcissus ,803,0,,1,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler,16,English,USA,Not Rated,27000,1971,0,6.7,1.37,85
Color,Francis Ford Coppola,208,175,,3000,Marlon Brando,14000,134821952,Crime|Drama,Al Pacino,The Godfather ,1155770,28122,Robert Duvall,1,crime family|mafia|organized crime|patriarch|rise to power,2238,English,USA,R,6000000,1972,10000,9.2,1.85,43000
Color,John Waters,73,108,,105,Mink Stole,462,180483,Comedy|Crime|Horror,Divine,Pink Flamingos ,16792,760,Edith Massey,2,absurd humor|egg|gross out humor|lesbian|sex,183,English,USA,NC-17,10000,1972,143,6.1,1.37,
Color,William Friedkin,304,132,607,259,Linda Blair,1000,204565000,Horror,Ellen Burstyn,The Exorcist ,284252,2466,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,English,USA,R,8000000,1973,931,8,1.37,18000
Color,George Roy Hill,119,129,131,417,Robert Shaw,1000,159600000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,175607,2387,Ray Walston,0,con|con man|courier|long con|murder,252,English,USA,PG,5500000,1973,559,8.3,1.85,
Color,George Lucas,100,112,,425,Ron Howard,11000,115000000,Comedy|Drama|Music,Harrison Ford,American Graffiti ,63839,14954,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,238,English,USA,PG,777000,1973,2000,7.5,2.35,
Color,Martin Scorsese,112,112,17000,354,David Carradine,22000,32645,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets ,67797,23737,David Proval,0,bar|catholic guilt|epilepsy|italian american|money,223,English,USA,R,500000,1973,926,7.4,1.85,
Color,Francis Ford Coppola,149,220,,3000,Al Pacino,22000,57300000,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650,English,USA,R,13000000,1974,14000,9,1.85,14000
 Black and White,Mel Brooks,129,106,,481,Peter Boyle,1000,86300000,Comedy,Madeline Kahn,Young Frankenstein ,112671,2703,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,315,English,USA,PG,2800000,1974,595,8,1.85,14000
Color,Mel Brooks,121,93,,628,David Huddleston,1000,119500000,Comedy|Western,Madeline Kahn,Blazing Saddles ,95294,4701,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,363,English,USA,R,2600000,1974,1000,7.8,2.35,12000
Color,Joe Camp,5,86,24,142,Peter Breck,407,39552600,Adventure|Family|Romance,Frances Bavier,Benji ,3411,1090,Edgar Buchanan,0,animal abuse|cat|dog|dog movie|tween girl,36,English,USA,G,500000,1974,189,6.1,1.85,816
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,30859000,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,USA,R,83532,1974,371,7.5,1.85,
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,30859000,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96411,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,USA,R,83532,1974,371,7.5,1.85,
Color,Steven Spielberg,385,130,14000,366,Robert Shaw,813,260000000,Adventure|Drama|Thriller,Roy Scheider,Jaws ,412454,2047,Murray Hamilton,0,beach|blockbuster|fishing|great white shark|shark,962,English,USA,PG,8000000,1975,559,8,2.35,21000
Color,Milos Forman,149,133,869,425,Michael Berryman,888,112000000,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,680041,2176,Louise Fletcher,0,1960s|escape|mental institution|nurse|sexuality,760,English,USA,R,4400000,1975,721,8.7,1.85,32000
Color,Michael Anderson,112,119,23,440,Jenny Agutter,1000,25000000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,39847,2951,Peter Ustinov,1,cat|computer|cult film|runner|sanctuary,242,English,USA,PG,9000000,1976,659,6.8,2.35,
Color,John G. Avildsen,141,145,80,794,Burgess Meredith,13000,117235247,Drama|Sport,Sylvester Stallone,Rocky ,375240,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,English,USA,PG,960000,1976,1000,8.1,1.33,
 Black and White,Richard Attenborough,56,175,,14,Dirk Bogarde,385,50800000,Drama|History|War,Ryan O'Neal,A Bridge Too Far ,40277,669,Wolfgang Preiss,14,airborne troops|allies|operation market garden|panzer|paratrooper,210,English,USA,PG,26000000,1977,232,7.4,2.35,
Color,Steven Spielberg,171,135,14000,252,Teri Garr,559,128300000,Drama|Sci-Fi,Bob Balaban,Close Encounters of the Third Kind ,139288,1591,Melinda Dillon,0,alien|close encounter of the third kind|mothership|ufo|vision,339,English,USA,PG,19400870,1977,481,7.7,2.35,
Color,George Lucas,282,125,,504,Peter Cushing,11000,460935665,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,911097,13485,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,1470,English,USA,PG,11000000,1977,1000,8.7,2.35,33000
Color,Woody Allen,154,93,11000,629,Carol Kane,11000,39200000,Comedy|Romance,Woody Allen,Annie Hall ,192940,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,491,English,USA,PG,4000000,1977,636,8.1,1.37,
Color,John 'Bud' Cardos,95,97,8,22,Hoke Howell,423,17000000,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274,516,Tiffany Bolling,0,death|farm|hotel|spider|tarantula,84,English,USA,PG,500000,1977,23,5.9,1.85,
Color,Richard Donner,169,188,503,467,Margot Kidder,10000,134218018,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,126357,12940,Ned Beatty,0,1970s|clark kent|planet|superhero|year 1978,497,English,USA,PG,55000000,1978,593,7.3,2.35,
Color,Sidney Lumet,32,118,,227,Diana Ross,738,13000000,Adventure|Family|Fantasy|Music|Musical,Lena Horne,The Wiz ,10895,1458,Theresa Merritt,0,melancholy|new york city|sadness|teacher|wizard,150,English,USA,G,24000000,1978,295,5.2,1.85,
Color,Jeannot Szwarc,75,131,82,85,Murray Hamilton,813,102922376,Adventure|Horror|Thriller,Roy Scheider,Jaws 2 ,51314,1520,Joseph Mascolo,0,great white shark|island|mayor|police chief|shark,265,English,USA,PG,20000000,1978,366,5.7,2.35,
Color,Randal Kleiser,124,110,116,898,Stockard Channing,1000,181360000,Musical|Romance,Olivia Newton-John,Grease ,170027,5127,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,350,English,USA,PG-13,6000000,1978,944,7.2,2.35,13000
Color,John Landis,94,109,644,559,Karen Allen,1000,141600000,Comedy,John Belushi,Animal House ,90177,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,English,USA,R,3000000,1978,783,7.6,1.85,
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157863,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,1978,742,7.9,2.35,12000
Color,Martin Scorsese,71,117,17000,476,Levon Helm,725,321952,Documentary|Music,Ringo Starr,The Last Waltz ,12611,2783,Bob Dylan,0,band|final concert|guitar|interview|thanksgiving,113,English,USA,PG,,1978,572,8.2,1.85,
Color,Robert Wise,134,143,338,643,Nichelle Nichols,12000,82300000,Adventure|Mystery|Sci-Fi,Leonard Nimoy,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2,alien|space|space station|spacecraft|warp speed,405,English,USA,PG,35000000,1979,664,6.4,2.35,
Color,Francis Ford Coppola,261,289,,3000,Marlon Brando,11000,78800000,Drama|War,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,1,army|green beret|insanity|jungle|vietnam,983,English,USA,R,31500000,1979,10000,8.5,2.35,19000
Color,Mark Rydell,32,125,43,122,Frederic Forrest,563,29200000,Drama|Music|Romance,David Keith,The Rose ,6142,1097,Alan Bates,0,awol|demand|driver|drugs|roses,52,English,USA,R,8500000,1979,236,6.9,1.85,1000
Color,Don Siegel,53,112,152,459,Patrick McGoohan,16000,36500000,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,87090,17568,Fred Ward,0,alcatraz|escape|inmate|island|prison,142,English,USA,PG,8000000,1979,466,7.6,1.85,
Color,Richard Lester,121,116,44,420,Ned Beatty,593,108200000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,4,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269,English,USA,PG,54000000,1980,467,6.8,2.35,
Color,Michael Cimino,102,325,517,678,Sam Waterston,12000,1500000,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,9830,14255,Isabelle Huppert,0,1890s|hired gun|immigrant|johnson county war|sheriff,189,English,USA,R,44000000,1980,849,6.8,2.35,1000
Color,John Landis,125,148,644,326,Aretha Franklin,1000,54200000,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers ,142448,2566,Ray Charles,1,band|catholic|money|parolee|prison,319,English,USA,R,27000000,1980,809,7.9,1.85,14000
Color,Nancy Walker,26,124,42,161,Randy Jones,801,2000000,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,2998,1462,Caitlyn Jenner,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,English,USA,PG,20000000,1980,174,4.5,2.35,1000
Color,Irvin Kershner,223,127,883,441,Kenny Baker,11000,290158751,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,837759,12643,Anthony Daniels,0,duel|famous twist|rebel|rescue|snowy landscape,900,English,USA,PG,18000000,1980,504,8.8,2.35,17000
 Black and White,Martin Scorsese,151,121,17000,356,Cathy Moriarty,22000,45250,Biography|Drama|Sport,Robert De Niro,Raging Bull ,235133,23008,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,494,English,USA,R,18000000,1980,394,8.3,1.85,
Color,Howard Zieff,25,109,6,271,Albert Brooks,1000,69800000,Comedy|War,Eileen Brennan,Private Benjamin ,18140,2419,Alan Oppenheimer,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,60,English,USA,R,10000000,1980,745,6.1,1.85,855
Color,Brian De Palma,121,104,,517,David Margulies,754,31899000,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,23986,2442,Nancy Allen,0,apartment|elevator|murder|psychiatrist|sunglasses,201,English,USA,X,6500000,1980,567,7.1,2.35,
Color,Robert Redford,62,124,,535,Elizabeth McGovern,2000,54800000,Drama,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3,choir|death|friend|suicide|therapy,283,English,USA,R,6000000,1980,553,7.8,1.85,
Color,Harold Ramis,71,98,11000,484,Rodney Dangerfield,13000,39800000,Comedy|Sport,Bill Murray,Caddyshack ,81599,14921,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,250,English,USA,R,6000000,1980,573,7.4,1.85,
Color,Jim Abrahams,134,88,104,318,Lloyd Bridges,628,83400000,Comedy,Peter Graves,Airplane! ,160281,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,427,English,USA,PG,3500000,1980,575,7.8,1.85,16000
Color,John Carpenter,212,89,,606,Hal Holbrook,2000,21378000,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46492,4877,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,USA,R,1000000,1980,826,6.8,2.35,7000
Color,John Carpenter,212,89,,606,Hal Holbrook,2000,21378000,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46493,4878,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,USA,R,1000000,1980,826,6.8,2.35,7000
Color,Michael Apted,46,124,150,572,Beverly D'Angelo,874,79900000,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,12974,2667,Levon Helm,0,country music|kissing while having sex|poverty|singer|title based on song,84,English,USA,PG,,1980,816,7.5,1.85,
Color,Steve Rash,13,98,15,281,Adam Arkin,691,8500000,Comedy,Mako,Under the Rainbow ,2061,1761,Billy Barty,0,assassin|hotel|japanese tourist|secret service|wizard of oz,34,English,USA,PG,20000000,1981,374,5.4,1.78,501
Color,Steven Spielberg,234,115,14000,488,Karen Allen,11000,242374454,Action|Adventure,Harrison Ford,Raiders of the Lost Ark ,661017,12906,William Hootkins,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,771,English,USA,PG,18000000,1981,783,8.5,2.35,16000
Color,William A. Fraker,25,98,28,102,Richard Farnsworth,372,8000000,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger ,1400,927,Michael Horse,0,ambush|hero|masked hero|outlaw|texas ranger,41,English,USA,PG,18000000,1981,262,5,2.35,346
Color,Matthew Robbins,60,108,25,94,Ralph Richardson,1000,6000000,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer ,10832,1263,Albert Salmi,0,apprentice|dragon|king|kingdom|wizard,102,English,USA,PG,18000000,1981,115,6.7,2.35,
Color,Noel Marshall,50,102,4,60,Melanie Griffith,634,2000000,Adventure|Horror|Thriller,Tippi Hedren,Roar ,1275,1262,Zakes Mokae,0,chase|dead man|jungle|killing a lion|killing a tiger,27,English,USA,PG,17000000,1981,537,6.4,2.35,
Color,Franklin J. Schaffner,2,118,76,249,William Hootkins,902,800000,Adventure|Mystery|Thriller,Frank Langella,Sphinx ,892,2079,John Gielgud,0,bat|curse|egyptologist|mummy|murder,21,English,USA,PG,14000000,1981,488,5.2,2.35,106
Color,Ivan Reitman,52,117,425,901,Harold Ramis,13000,85300000,Action|Comedy|War,Bill Murray,Stripes ,48629,27378,Judge Reinhold,1,army|boot camp|breasts|graduation|rescue,134,English,USA,R,10000000,1981,11000,6.9,1.85,
Color,Steve Miner,242,87,49,59,Adrienne King,309,19100000,Horror|Mystery|Thriller,Betsy Palmer,Friday the 13th Part 2 ,39690,707,Amy Steel,0,ice pick|jason voorhees|lake|pitchfork|shack,394,English,USA,R,1250000,1981,121,6.1,1.85,
Color,Joe Dante,161,91,287,725,Robert Picardo,1000,17986000,Horror,Patrick Macnee,The Howling ,22773,4438,Dee Wallace,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,English,USA,R,1000000,1981,823,6.6,1.85,
Color,Colin Higgins,11,114,19,842,Barry Corbin,1000,69700000,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas ,7748,3688,Dom DeLuise,2,chicken|governor|locker room|sheriff|texas,48,English,USA,R,35000000,1982,883,5.8,2.35,
Color,Ridley Scott,302,117,,521,Sean Young,11000,27000000,Sci-Fi|Thriller,Harrison Ford,Blade Runner ,461609,13877,M. Emmet Walsh,2,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,1168,English,USA,R,28000000,1982,759,8.2,2.35,34000
Color,Sydney Pollack,94,116,521,481,Sydney Pollack,13000,177200000,Comedy|Drama|Romance,Bill Murray,Tootsie ,77366,14701,Teri Garr,1,actor|actress|friend|love|reputation,194,English,USA,PG,22000000,1982,521,7.4,2.35,
Color,Clint Eastwood,43,136,16000,216,Warren Clarke,16000,46700000,Action|Adventure|Thriller,Clint Eastwood,Firefox ,19832,16805,Kenneth Colley,1,fighter plane|jet fighter|refueling|russia|soviet union,98,English,USA,PG,21000000,1982,281,5.9,2.35,
Color,John Milius,166,129,468,183,Mako,919,37567440,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,2024,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,USA,R,20000000,1982,691,6.9,2.35,
Color,John Milius,166,129,468,183,Mako,919,37567440,Adventure|Fantasy,William Smith,Conan the Barbarian ,113068,2024,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,USA,R,20000000,1982,691,6.9,2.35,
Color,Hal Needham,40,99,379,251,Michael Beck,456,5333658,Action|Sci-Fi,Barry Bostwick,Megaforce ,2541,1356,Henry Silva,2,dictator|electronic music score|one word title|secret headquarters|soldier,54,English,USA,PG,20000000,1982,278,3.5,1.85,
Color,Sidney Lumet,79,129,,359,James Mason,844,54000000,Drama,Charlotte Rampling,The Verdict ,26310,2330,Jack Warden,0,archdiocese|court|hospital|lawyer|malpractice,154,English,USA,R,16000000,1982,617,7.8,1.85,
Color,John Carpenter,297,109,,145,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,0,alien creature|alien life form|antarctica|isolation|paranoia,911,English,USA,R,15000000,1982,163,8.2,2.35,23000
Color,Nicholas Meyer,148,116,120,664,Kirstie Alley,12000,78900000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,91414,16539,Nichelle Nichols,2,jamming communications|planet|space station|taunt|trap,359,English,USA,PG,11000000,1982,980,7.7,2.35,
Color,Tobe Hooper,223,120,365,723,Zelda Rubinstein,887,76600000,Fantasy|Horror,Heather O'Rourke,Poltergeist ,105446,3876,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,321,English,USA,PG,10700000,1982,770,7.4,2.35,11000
Color,Tobe Hooper,223,120,365,723,Zelda Rubinstein,887,76600000,Fantasy|Horror,Heather O'Rourke,Poltergeist ,105448,3876,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,321,English,USA,PG,10700000,1982,770,7.4,2.35,11000
Color,Steven Spielberg,215,120,14000,548,Dee Wallace,861,434949459,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,281842,2811,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,515,English,USA,PG,10500000,1982,725,7.9,1.85,34000
Color,Barry Levinson,42,110,272,551,Daniel Stern,801,14100000,Comedy|Drama,Steve Guttenberg,Diner ,14995,2943,Ellen Barkin,6,baltimore colts|diner|marriage|salesman|wedding,87,English,USA,R,5000000,1982,796,7.2,1.85,
Color,Steve Miner,235,91,49,20,Dana Kimmell,72,36200000,Horror|Thriller,Richard Brooker,Friday the 13th Part III ,31952,174,Catherine Parks,0,defecation|hockey mask|jason voorhees|lake|serial killer,372,English,USA,R,4000000,1982,31,5.7,2.35,
Color,Tommy Lee Wallace,162,98,24,67,Dan O'Herlihy,381,14400000,Horror|Mystery|Sci-Fi,Tom Atkins,Halloween III: Season of the Witch ,28589,684,Nancy Kyes,0,doctor|factory|halloween|holiday horror|stonehenge,532,English,USA,R,2500000,1982,128,4.6,2.35,
Color,Richard Marquand,197,134,37,504,Ian McDiarmid,11000,309125409,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,0,death star|emperor|empire|princess|rebel,647,English,USA,PG,32500000,1983,1000,8.4,2.35,14000
Color,Philip Kaufman,80,193,133,820,Scott Glenn,2000,21500000,Adventure|Drama|History,Dennis Quaid,The Right Stuff ,45271,6341,Sam Shepard,0,astronaut|sound barrier|space program|u.s. air force|u.s. space program,170,English,USA,PG,27000000,1983,826,7.9,1.85,
Color,Brian De Palma,147,142,,638,F. Murray Abraham,14000,44700000,Crime|Drama,Al Pacino,Scarface ,537442,16464,Mary Elizabeth Mastrantonio,0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,851,English,USA,R,25000000,1983,670,8.3,2.35,19000
Color,Harold Ramis,55,98,11000,624,Randy Quaid,816,61400000,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,71183,3617,Jane Krakowski,1,amusement park|dog|family vacation|national lampoon series|vacation,183,English,USA,R,15000000,1983,695,7.4,1.85,
Color,John Badham,84,114,139,793,Barry Corbin,2000,79568000,Sci-Fi|Thriller,Matthew Broderick,WarGames ,71842,4537,Ally Sheedy,0,computer|game|high school|norad|teenager,152,English,USA,PG,12000000,1983,883,7.1,1.85,
